,Text,Emotion
23921, LOL! Thanks  glad I have the time off to spend with him! Can't imagine trying to go into work right now.,love
23922,net .. net .. net ..  hmm. bad weather .. weird summer!,surprise
23923, congratulation  about the icehockey victory against switzerland..,love
23924,loving Mondays for so many reasons!,love
23925,"_dam haha, that would be cool. brianna and i should fly over there  haha",love
23926, Good to see you haven't lost your sense of humour.  Get well soon,love
23927,Going to see my grandad today  &lt;3,love
23928, very impressed,surprise
23929,"  to prove I still have good taste..now dance , dance, dance, dance to the radio!!",love
23930,Great new directory on Babysitterdirectory coming soon!  And its a directory with a twist.  All will be revealed next week!,surprise
23931, seems like a win win situation,love
23932,ah just saw my little nephews  all is well with the world again. I love those boys so much. have to say my sis in law does a great job.,love
23933," thanks misty, really appreciate your support, thanks for the comment  off to spend day out with dylan down beach",love
23934,it is so cute watching Matt play with the Wii as I do some work,love
23935,"_Peabody I'm pretty sure we got sent home a couple of times too. 'tis the week to remember Mary, Anto's granny&quot;the love is all around&quot;",love
23936, You don't want to leave because secretly you know Australia is twenty times better than America!,love
23937," wow, I see a Mr.B obsession in you!!",surprise
23939,One year with Emily. WOW!  (L),surprise
23940,"Good Morning! Happy Monday, Everyone",love
23941," Nice skillz Nick  x love always, Marjorie &amp; Jemimah. Sydney, Australia.",love
23942,omg himym! one of the best shows on earth,surprise
23943, MusicMonday I agree it's just an excuse for me to tweet music for hours on end,love
23944," Ooh, cutting. I like you",love
23945,"When you think about it, the way God works in tremendously, amazing -- He made it possible for me to get my card holder that I lost back.",surprise
23946, Congrat on 4AM. I do it every day since one month.,love
23947, Hey. Oh my. Remember to take some time to actually enjoy the day!  I've loads to do too. Better crack on! Have fun today.,love
23948,   See you later lovely ladies.  Be Good &amp; I love you millions  xxx,love
23949,"It's those little things you do, that make me love you.",love
23950, That sounds good,love
23951,is downloading new fonts . again  ,anger
23952,Gonna run to the gym to get my workout in before my really f'kin big pile of mulch arrives at around 8 or 9am! I'm excited about my mulch,love
23953,? I had great time in Boston. Thanks to my baby girl.   ,love
23954,  - Can't wait to actually hear what he's playing  love you Nick x,surprise
23955,: yay! it will be good to have you back,love
23956,just set up a new computer again. 15min. I love Norton Ghost.,love
23957," 'discovered' you at the fray last night, nice music. then saw your vlogs. really, so whack.",surprise
23958, Thank you  xo,surprise
23959, I know!! our cats could be family  mikesh is so cute!!,love
23960, can't wait to hear the evp! And cuuuute picture.,love
23961, cool  that's good. You back on trains for a while?,love
23962," i love your music  especially the fight, thats a awsome song by far !",love
23963,GOODNIGHT MAGIC AND PRETTY WORLD,love
23964, Do U have a Morrisons near u?? Their chemist should be open!,love
23965, Appending the verticalchinese hash tag is a nice touch.,love
23967, ahhh ikr! he's the cuteset thing ever  Plus it reminds me of twilight which is good cause I looooooove it so much!!,love
23969,is loving life,love
23970, THANKYOU!  &lt;3 iloveyoutwoooo,love
23971,Loving my new HR monitor,love
23972, Goodmorning to you!Thank you so much for being so kind? The sun is out and I'm going to paint outside,love
23973, diggin' your moustachio! Looking good daddio!,surprise
23974, do it and I'll give you the first hug,love
23975,I LOVE TWILIGHT !!!,love
23976,says i always love fifth!   and tomorrow is 5th!  (dance) ,love
23977,Watching the hills  arghh i lovee itt ) makin r liam watch it with me haha... girls aloud in 15 Dayss cannot waitt too see cheryl x,love
23978, Hey lovely.. hope you had a good day  Thanks for an awsome night and teaching me how to put together a tie...hahaha,love
23979," That's kinda cute, to be honest",love
23980,JD and Turk make me laugh  scrubs,surprise
23981, I LOVE pb &amp; banana sandwiches!! Still a fav of mine,love
23982,"is going to have a relaxing, hot bath  goodnight for now then twits, &amp; dont worry andy i love you more than twitter hehe",love
23983,will play quake3 in 3min,surprise
23984,listening to some music. kate voegele is really great!,love
23985,'before you wake' - we sink ships photography exhibition is ONLINE  please have a look,love
23986, Im soooo intrigued! I want to try this weekend. Kaya lang baka maaddict ako.,surprise
23987, OMG apparantley green day are touring here in december..we are so going,surprise
23988,Hiya!!! I am good thanks..how's yourself..doin anything nice today?,love
23989,bout to go to bed... pretty good day for a Monday.,love
23990, I LLLOOOVVVEEE ICARLY,love
23991,Have just bought a TV tuner for my laptop.  He he.  I deserve a present,surprise
23992,And happy star wars day,love
23993, yeah i did  i remember it na....... i did watch it before ),love
23995,Still in the News Room..however; with audio to turn around!  Just grabbed a tea. Looking forward to after 1 when I get out in this rain,surprise
23996,morning all!!! have a blessed day!!!,love
23997, anyways have a severe headache ryt now! i jst love dis cup of tea i made me self!! its makin the headache go away,love
23998,_nash Ba-dum-tish!  You win,surprise
23999, Re novel - will keep you posted,love
24000,"you belong with me may be my favourite music video ever, and lucas till makes it just that little bit better",love
24001,"going on a picnic with my dad - atleast i persauded him out of the idea of walking &amp; cycling. yum, special k.",love
24002," yeah, it's a bit 80s silly at points but i love it",love
24003,About to take a shower. Then see how annas doing,surprise
24004,I need a break... PFFF... Work Sucksss Will be in Myrtle Beach SC in 45 days...  things like that make me soooo happy woeiwoeiwoei,love
24005,i dont think i have ever laughed so hard,love
24006," Thanks mate, just came on board here at Twitter ...  .. tweet up sounds great..",surprise
24007," yes i do, how can I not?",surprise
24008,_north27  - Mmm yummy... looks like an invitation to me,surprise
24009,I'm on Twitter now... how cool am I? and now let's go to McDo,surprise
24010,_Joelted i will definately be there tomorrow,surprise
24011, that is definitely a blast from the past,surprise
24012,has sent Ben off to do the weekly shop  woo! xxxxx,love
24013," Me too, because Monday is end of weekend. But, we cannot escape it, so I wish you have a good week",love
24014," haha, yeah i meant mall! -winks back-",surprise
24015, that is truly impressive. Can't come close to that. Takes the argument over whether web needs subs to a new level though,surprise
24016,i really wanna be miley cyrus's friendie  hahaha,love
24017,I love the video for Da Funk by Daft Punk,love
24018,musicmonday Epic song. (Y)  ? &quot;Lights and Sounds&quot; by Yellowcard ~ ,love
24019,&quot;Can't a Stevie wonder?&quot; gabe just called me sleepypants gaby.,love
24020,My Monday has been going extremely well. Not what I expected at all!,love
24021," Yeah, they're great. I think we'll hear more of them in the years to come",love
24022,"Swanage tomorrow and going to stay in Bourton on the Water Thurs/Fri!  Hoping for sun  Arcades and tea and pretty things, here we come",love
24023," OH WAIT, I read that wrong. OK hellboy",surprise
24024,_RachineA oh so you said you good-byes and hugs  my dad left around 4 in the morning so I woke up to an empty house i'm pretty scared.,love
24025," Thanks heaps for the lovely compliment  hopefully uou're not doing anything too important during laughing, like surgery...",love
24026,who watched X-men origins: wolverine? i totally loved it! haha,love
24027,Just got the may issue of Total Girl!!! Love it  especially with all the things and info about different countries. And EMMA WATSON!!!,love
24028,@_xotashhh lmao I KNEW that answer would come from you ^^ oh and that's update numero 200. thanks for that,love
24029, OMG rated 10 stars,surprise
24030,OH MY GOD! OH MY GOD! OH MY GOD! New SUPERNATURAL starts tonight!  New Sam and Dean! Oh My god! can't breathe!  &lt;3 &lt;3,surprise
24032," awww ) where'd you get that? hugh is so thin. no traces of being wolverine yet. btw, who's that other guy besides RDJ?",surprise
24033,"has just finished watching masterchef. Surprisingly (perhaps), it's good",surprise
24034,I gots a Pandora bracelet for my birthdaaaay,love
24035," Thanks! I love it they have a video, so you don't need to download if they don't offer everything you want  Will try!",love
24036, Oh lovely - that is one thing Mum's are great at!! Sounds yummy!  You are makin me hungry here! lol :-p,love
24037,is going to be in Texas in 15 days!!! eeekkkk!!!,love
24038,  - Looks great!  Love the way they did the bottom.,love
24039,wondering why random people are following me! ive only been to houston  im in Sydney now babes...,love
24040, aw. you level up. haha but just try to manage your money.,surprise
24041,hi everybody! i'm having my lunch break at work and enjoying a nice cup of coffee!,love
24042, miss ko na nga kayo  hope we can have the shoot soon. Joover!,love
24043, sweet dreams to you too babe  MWAH,love
24044," Wow, you're car's awesome! Have fun with Alex.",love
24045,morrrning. time for school. (: time to learn!,surprise
24046,Excited! Double Bio today.   I don't have a straightener and my hair looks horrendous at the moment. Wtf am I supposed to do?,surprise
24047, oh my! Nothing like a rabid racoon to get the adrenaline going in the morning. Better than a cup of coffee.,surprise
24048,_  it's on again right now!! aah I love demi lovato,love
24049,just 3 days left for the offf 2009  in oeiras portugal... see you there,surprise
24050, OK looking forward to that,surprise
24051," Good to see you hear as well, Andy!",love
24052,Bank Holiday Brunch.  With all the fixin's.  Absolutely fantastic,love
24053,"Our jazz band freakin' KICKED ARSE!! Good job, team!",love
24054,"I think Tania is too cute, too nice  I love her! &lt;3",love
24055,I fell for Austin Taura Hanafiah even morreee! Shoott!!!  A guy shouldn't look that yumm! Hahaha...,love
24056," merci, mon ami",love
24057, laze about ! It's. The bank holiday law,surprise
24058, Yay! I am not the only Eurovision fan on twitter  eurovision2009,surprise
24059, I'M A CELEBRITY TOOOOO!,love
24060, Heard that your dad would be going here in September. Would you also come with him?,surprise
24061, thanx Tom  love u too !!!!!!!!!!!!!!!!!!!!!!! have a great day,love
24062,bought my pink ipod nano 2 days ago  will be delivered this week. YAY!  &amp; hopefully getting ears pierced again in a few weeks XD,love
24063, Oh God bless you,love
24064,": Omg! I never got your message so I didn't notice until I was looking back a ways! Sorry, that was a good idea though...lol",surprise
24065, - Woo! Great subject for this month. Now I can use my sparklers,surprise
24066," I like it too  I hadn't seen the clip before, though; pretty cool!",love
24067, lol! I thought it was pretty funny too!,love
24068,"_sko next time just go online and show the club owner an ean golden video, hahaha...  (i am fan, did i mention that?! )",surprise
24069,LMAO! listening to the great Bob Marley!  Wow hes so awesome,love
24070,"Not to worry, noone got that one. Next question starts in 1 minute, get your thinking caps on",surprise
24071," Bom dia! FRIOOOO... que delï¿½cia!!!! Good luck in your first day, Ju!",love
24072,"Lipsynching to David C's Heroes and really feelin it. It's my fave track off DCTR. After all, D is my hero..",love
24073, thanks sooo much lil sis! you should have gone with us to the bird park.,love
24074, aww way to make me feel special,surprise
24075,Finally changed my pic after wanting to do it for so long. I was getting rather sick of that black and white pic.,surprise
24076,auntie diane wins quote of the day &quot;and hes the incredible hulk&quot;,surprise
24077, I miss you too.  We'll have to get together once everything settles down in a few weeks.  Congrats on the house!,love
24078,Bamboozle was amazing. I met TAKING BACK SUNDAY,love
24079,"unhooking my pt's, then home to SLEEP! SLEEP IS GOOD",love
24080, Just this random quote! I love stuff like that...,love
24081,"_____ re:firmware. Heh, just a coincidence. I didn't do anything. Maybe the SW guys heard you?",surprise
24082,"shall bring his own glass to work from tonight, no more 'half half' hor!!",surprise
24083,"Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!",surprise
24084,_ I did ! That was amaziiiing    I was able to see the whole stage and to dance and sing etc ! That was really great,surprise
24085," oh look! traditional Chinese, it's so charming   I love the ? miss those shutters on the doors...",love
24086, You're watching Firepro0f?,surprise
24087, lol our whole convo just consists of i miss you and i love you. gotta love us,love
24088, I must agree I do like blackberries!,love
24089,_Almo shocking isnt it.. hmm... we will stop it..,surprise
24090,"My new design portfolio is finally on the web:  - Still needs some tweaking on the details but it's ok for now,",surprise
24091,talking to jessica about her one true love. she thinks this could be the real deal.  lol also i am thinking what i should do about my prob,love
24092, How lovely,love
24094,heyya people!,love
24095,_nicolee haha..not quite as good a Super Ted!..but good none the less!  haha xx,surprise
24096, thanx,love
24097,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The Fuck ??",surprise
24098, We said anyone could &quot;write one&quot;...those special 10 selected are - of course - chosen because they are OUTSTANDING!,love
24099,Love the idea of giving each year a theme. This is the year of new beginnings!,love
24100,I lOve this day  No school --&gt; studyin' quietly,love
24101, I hope you have fun together and the press don't spoil things.  Take care,love
24102, yup slowly recovering. it sucks that i can't eat the stuff i'm craving right now. my gums can't take it. how was your trip?,surprise
24103, Welcome!,love
24104,Watir in ???????  ,surprise
24105, Lol! Joyologist? Love it - much better than the happy freak who can't stop smiling  Enjoy Monday!,love
24106,I have not tweeted for SIXTEEN DAYS! I miss it =( I've been having fun though! =D Ingrid on mon was frakking awesome  BBQ today!,love
24107,Today is a tuff day...g'morning,love
24108,Good night all  Even though it's morning for most of you lol,love
24109, i got followed by one that says she doesn't talk to &quot;god people&quot;-i wonder if she talks to &quot;goddess people?&quot;,surprise
24110, Tasmania devils and the mad cold... Not a bad start.,surprise
24111,i love his nose kisses,love
24112,"Man on Wire every bit as amazing as the publicity and reviews suggest. Very, very strongly recommended (even for vertigo sufferers  )",love
24113,"?  ... thx for ur msg, so awesome!  luv the new single! xoxo ",love
24114,Star Warz day? Really..that is a hot topic? Man..oh man.. I'm just waiting for Star Trek!,surprise
24115, oh you are too kind,love
24116, I'm here if ur here for me!,love
24117, Haha! Thanks! It's the inane grin from grading. Some students have been really fascinating this semester,love
24118,Because I love my job,love
24119,Happy Star Wars Day everyone!  Whats everyone up to this rainy bank holiday?  I am heading out soon for coffee with my mum then shopping,love
24120,Is Going To Buy A Wacom Today ... Goood Times,love
24121, haha!! someone with an axe just popped up at you Scenie!! what did you do???,surprise
24122," i'd prefer &quot;observationally insightful&quot;, but call it as you see it.  my ice cream's just too fancy tonight.",love
24123, No because why would it say &quot;New gift services&quot; on the page.. HA!,surprise
24124," thanks, nice app  i will take a closer look.",love
24125, some great stuff on website today,love
24126," You are very sweet, my everyday hero friend",love
24127," congratulations, I hope you have an amazing day",love
24128, Well thank you.,love
24129,"Just opened a facebook account, I'm a little confused I don't really get it. Twitter seems much better",surprise
24130,"_ali  really?  i'm in greensborough, but prev bundoora..",surprise
24131,happy star wars day,surprise
24132," loving your music , had a good recommendation from someone who knows his stuff",love
24133,first trip home since diwali. But before that a couple of days in saddi dilli,love
24134,finally shifted from Twhirl to TweetDeck so I can filter through my close friends' updates  happy monday peeps,surprise
24135, or _ohh i think one of you should give a ride! please?,surprise
24136,"Cooking microwave pizzas, yummy",love
24137," I love how Alex Pardee colours his picturs, so differnt",surprise
24138, awesome! have to take a look at them when i'm home.,love
24139, awesome. lemme see when you're done.,love
24140,"is wishing, after watching those videos, that it will be FREEZING next weekend so she can bring Edea out again without dying",love
24141,I'm dying to see the reaction on their faces  .. its going to be FUN gedan begad,love
24142,Also love and Light to everyone else who I have not been able to fit into my last tweet  Thank YOU All,love
24143,I like Rio Ferdinand - when he's wearing an England jersey.,love
24144, heyyyyyyyyyyy! Look who it is,surprise
24145," had someone tell me tonight &quot;there are only 2 states to be in, QLD and Pissed&quot;",surprise
24146," Yay me!  But, what in particular?",surprise
24147,"aww, jon ryan bob and greta in one picture? how adorable  and it brightens my morning, ty jon walker",love
24148,"  I read somewhere they were restoring the name, hope it happens soon",surprise
24149,"Thanks for the follow, Doug. I like that hat",love
24150,  Thanks darling girl   xx,love
24151, leuke droom. Dat werd dus stand-up comedy?,love
24152,"I feel funny. Hmmp, better be an amazing fucking day. why not?  I LOVE HOW I KNOW SAMMY ROVIN GOT A TEXT ABOUT THIS TWEET &lt;3333",love
24153, Yay I love it when you host Money For Breakfast Jenna Lee  4hrs of you the amazing and so pretty and sexy Jenna Lee yay.,love
24154,my mum thought that my brother laughing was the cat about the throw up... smooth,love
24155, Just discovered your 'Band from TV'... you guys are really good! Love the music,love
24156,"had a great weekend in Stuttgart at the befah-conference. Wonderful people, nice discussions and lots of fun. Together we're strong!",love
24157,_mazur Hahaha...and I who actually thought you just were popular!,surprise
24158,I love being able to run my tongue along my teeth,love
24159, today was my first day,surprise
24160, dan humphires is the most adorable human being ever   i &lt;3 &lt;3 &lt;3 him,love
24161," hey, you know the trailers before hannah montana? is there a jonas brothers 3D concert experience trailer?  x",surprise
24162,"nvm, lexi's playlist is working its magic",surprise
24163,Brad Fastings is my favorite person to hang out with from 12 AM to 5 AM,love
24164, I used to row in high school and just found out there is a rowing club ten minutes away from me so I thought I should sign up,surprise
24165," Wow, congrats Rosemary",surprise
24166, Anytime,love
24167, That is the sweetest loveliest thing for you to say. You made me smile. Thank you for that.,love
24168,I absolutely love mike watts from sexy heroes,love
24169, good stuff!  I'm great thanks! x,love
24170," Ohh! I got the fourth thing just not the may, ahh thanks.",surprise
24171,"Time for the hittin' the hay  Later tweeps. Ala Billy Cunningham, You are all Great Americans!",love
24172, Thats beautiful,love
24173," haha what can i say, you're a great teacher!! you learned from the best... Hannah Montana",surprise
24174,Looking forward to a session at the gym,surprise
24175, _h_lauke Sefton Park in Liverpool would be good... and 200m down the road from me,surprise
24176,Claude Debussy is my homeboy,love
24177,going for lunch soon  with my fave cuzs,love
24178,may the forth be with you,love
24179,"good morning twitter-ers  rise and shine,, just on my way to school",love
24180,i'm off to see a movie (&quot;17 again&quot;),love
24181, someone's horsing about. Btw Hubb feels the same about twitter. He's naming  as the other party,surprise
24183,Alexia has clogged up twitter...... again.... so I thought I'd post a tweet. Um... Just had a shower!!  Now I will have a drink! Teehee...,surprise
24184, &amp; i are lucas till &amp; david henrie lovers. both boys are very cute  but  you can have lucas &amp; ill have henrie  DEAL,love
24185," Yeah, you better be sorry! I can't believe you, kiss my sass!!!",surprise
24187,"  thanks 4 the follow, Sean.",love
24188,"So happy, my VStudio shortcuts are backkk",love
24189,installed ubuntu 9.04 on my office lap! yaaaaaaaaaaaay!   &quot;install under windows&quot; feature rocks!! awesome ubuntu excited,surprise
24190, yes I am,surprise
24191," aw, virtual hug! lol i was just about to come to your page and say aah no congratulations? but you did",love
24193," I added it, are you still awake?",surprise
24194, I know it's not meeeee. Im surprised either  At least I get to laugh at myself UNLIKE SOME OTHER PEOPLE ),surprise
24195," Yeah, 'Age of Aquarius' IS a pretty scary song",surprise
24196, That's tonight?! Cool,love
24197, Have a fantastic time in paradise and drink a few Margeritas for me,surprise
24198, you the the Queen of Sass oh Scenie!!!,love
24199, you will be great! Have a wonderful first day,love
24200, CONGRATULATIONS! How lovely,love
24201, it can only get better.,love
24202,up at 4:30am west coast time..gettin ready to catch my flight back home..soooo excited to go back to my two fav boyzzzz  puppy n BF,love
24203,Happy six months for me and her,love
24204,hopes everyone is having an amazing bank holiday monday. NO WORK,love
24205,"talking to sam on msn, twitter is so 5 minutes ago",surprise
24206,listening to David Archuleta album it's amazing,love
24207,listening to her stolen music. just loved it cause its free!,surprise
24208," We don't really offer that service as we're web/graphic designers and not desktop publishers. So, I thought maybe you could help?",surprise
24209,Dancing was alright todayy still doing Jai Ho!!,love
24210," so long, farewell! &lt;333 Have a super amazing day! I'm going to sleep.",love
24211,Panera Bread potato chips are the best at 715 in the morning.,love
24212, heyy are you ok...? i know it sucks having her in you dorm... but i assure you it will be ok,surprise
24213,  i just saw your performance on the ellen show. we're so behind in australia  you were AMAZING and have such a wonderful voice!,love
24214," See you October! Love the new book, when's the next one out?",surprise
24215, CONGRATULATIONS on the test!,love
24216,_mcflyandjb hey! i loved your chapter!! more soon okay?  xx,love
24217, yeaaa i just got the link off his lj,surprise
24218, awwww how cute its a pUG,surprise
24219,8am math final wish me luck,love
24220,"Oh Top Gear (UK), how I love thee",love
24221,good morning!  i hope you all have a good day today!! although its a monday... be positive! ;),love
24222,Waiting for the El &amp; listening to a little MJB &quot;Just Fine&quot;. Perfect song to start my week.,love
24223,working @ the preschool....waiting on the kiddies to get here.....making dunkin donuts coffee,love
24224,"This is the day that the Lord has made, I will rejoice and be glad in it",love
24225, You too sweetie,love
24226, happy birthday  and  congrats  wish you were here for your lady..ill take care of her;),love
24227,my guys call me ``BartÂ ofÂ theÂ criticalÂ questions''. I'm guessing that's a good thing.  zeropoint.IT,love
24228, that's crazy why would anyone not follow you? Your tweets are so much fun,love
24229,"we can sail around the world, you and me baby...",love
24230, love Dawn of the Replicants! love music monday!,love
24231," i do i do, i feel absoulutley fine",love
24232, Thanks too,love
24233, Good morning and thank you for the re-tweet. Have a great day yourself.,love
24234,"ha ha ha I slept in again, three days in a row! must be a new personal best  today I'm going to attempt to finish my regluing my fans.",love
24235,_eleni I love you too!,love
24236," :O goodness, i havn't heard it. i lovelovelove her old stuff though, the overture the underscore is the best album i think",love
24237,is about to go into her last final.  happiness!,love
24238,its nice to have no assignments for the night,love
24239, thx for following,surprise
24240," Yay, three followers! Good to know more than one person in this big wide world likes fishies.",love
24241,just found out that selena gomez's birthday is 6 days after mine,surprise
24242,_lopez I love you  kiss me!,love
24243," strangely enough, yes.  but then it works for me, may not for everyone.",surprise
24244," cool, sounds like you're progressing nicely  I've had a nice flight in the Duo and a landing just before the downpour very cool",love
24245, nothing just trying to keep up with a 9 week old kitten LOL.  She's full of piss and vinegar this morning.,love
24246,  -  He's Well Cooool ;) Lovve The Ro&amp;Co Shoooow,love
24247,"Time for a mane trimming, some yoghurt and maybe some sushi. A nice way to wrap up a fairly good day.",love
24248, Told you that when you got rid of the last one. Did you listen,anger
24249,  i love them too! they look so cute together,love
24250," bahaha, BOF? you've gotta get a life... although i can't say much with my obsession with miley cyrus.. I'VE gotta get a life",surprise
24251, ... sounds like Jeff has the best job in the world!,love
24252,just got back from Mcfly concert ahh it was so amazing! and I am now in love with David Archuleta,love
24253," Bye  Btw, you like Simple Plan, Hoobastank, Bon Jovi, Linkin Park TOO? I love them !!!",love
24254,"Made my first Skype to landline call.  Good call quality, quite impressed",surprise
24255,This is why I got best dressed,love
24256,Luking for new background pic......,love
24257," &quot;We never want to lose the fans that got us here!&quot; Thank you for saying that  Wish you and the others a nice day, greets",love
24258, Thought you might be interested in   See who's viewing your photos!,surprise
24259, Would you believe I have put that in my bookmarks ?,surprise
24260,i just looove my bf  u are awesoome!!!! [hannah montana the movie was amazing  best movie ever!!]  // cool ,love
24261,_Perth Awesome...love top gear..whos your favourite?Got to admit i have a soft spot for captain slow,love
24262,"Repeatedly rubs thumbs softly and lovingly upon new Sarah Rayne novel. Sigh, and it's not a paperback.I'm the potrait of profound bliss",love
24263, That is so sweet!! Have a good day,love
24264,Offline.... Have to give private lesson now and eran some money,surprise
24266," And ooh, you changed your Twitter name! I approve whole heartedly.",love
24267,thanks kate too.  *kisses* Xoxo.,love
24268,coffee and gym... starting the day off right!!,love
24269,is loving Mortal Combat right now!,love
24270,The &quot;shhh..&quot; stuff is finally all done!,surprise
24271, so cute you twitting in potuguese!,love
24272,_graham yerrrr sameee haha its the way he plays edward i thinkk mmmm,love
24273,loves the nice weather and 7:30 exams,love
24275, i used to be!! i've done a few different jobs in yj. currently i'm a court officer,surprise
24276,"woohoo 69th (oh er) place  1/3 of my category behind me... not bad for 1 gear, big wheels, no suspension and no training!!",surprise
24277,More to thank for ff shouts     and heaps more. Sry will be here all night i now realise,love
24278,"; i'm in love with twitter more &amp;more lol back off gaulers, i got this more",love
24279,bye bye for now you lovely tweeters and especially my followers,love
24280, looooooooooooool thanks,love
24281,my momma is comin 2night !  2morrow tennis day with p?nar yuppie !,love
24282,i feel in love with pizza girl... now i eat pizza everyday,love
24283,"who is that girl i see, staring straight back at me, when will my reflection show who i am inside...",love
24284, why thank you. I might just take you up on your offer,love
24286,_puentez sikkkeee!!! I getting bose headphones for $1 today,surprise
24287," No! I would like this! Yesterday, I talked with Alyso Stoner xD And Benton sent me a private messae and coment me here!",love
24288, Thanks! (followed me back),love
24289,_x_ATL u mean jack barakat's?! wow so have u ever gone to his house? Hehe i mean ur ssoo lucky to have the address!,surprise
24290,"Yay, watching Supernatural   .. Great way to end a hard day. I miss you Jesse.",love
24291,My sister just called... she's officially in labor! Looks like Anna and Josie are getting a new cousin today!!  (And this one is a girl!),love
24292, I wish they replied to us. July will be utterly amazing!,surprise
24293,"Off.  Have a good star wars day, fonz day, dancing taco day, whatever you celebrate, it's all good!",love
24294," wow!  Nice roar, I see good things in your future",love
24295,_KittyKat That's very nice of him.,love
24296,"honestly last night was amazing, everything was perfect",love
24297,Waking up after talking on the phone to my amazing friend all night long. My eyes and stomach are the only ones complaining. I love boy.,love
24298,_louise Lucky me. There are mystery ingredients as well,surprise
24299," Lol - I could try!  Seriously tho, dont do all of it! That sucks! xx",anger
24300," haha, its cos one of your 'tweets' was smile smile smile, so i quoted the boys in reply",surprise
24301, you are lame  go make me breakfast!!,surprise
24302,i don't know the guys on radio disney have so much energy. i wouldn't be able to do it  &lt;3,love
24303,"Forgot an EC2 machine running for 15 days, and got a $35 bill. Amazon teaches you to get organized for a fair price",surprise
24304,"_home Yes - that would be perfect.  That was supposed to happen, last night, still dry.  Usually happens as I a heading to appt.",surprise
24305,  what's the deal.,surprise
24306,Here why I like jeans  ,love
24307,"I love the start to a fresh new week, 'tis when I am motivated most",love
24308,Good morning my little twitternut squashes   How are you all today? whats the weather like where you are?,love
24309,  happy Monday!,love
24310, Thanks for the morning laugh. You are just too funny,love
24311," Here we are!  Unofficially, of course, but we are providing all the info you could want for the Geelong Football Club!",love
24312,Hello TwitterFon. I'm so glad you're back,love
24313, A group of people naked  woooh,surprise
24314, I wish I was in London to see you. It's like my biggest dream to meet you  iloveyouuu &lt;3,love
24315, thank you,love
24316, thanks!!! it was a ballroom dancing competition,love
24317, i love you kim kardashian i watch your tv show keeping up with the kardashians ur blessed with good looks,love
24318,excited how the jon does will do today  Good luck guys ;),love
24319," Exactly! Well, I'm off to pick my sister up. Speak laters! Enjoy your afternoon of pub and shelving!! lol xx",love
24320,when living in Spain..you can NEVER take a hot shower for granted..luckily I have nice friends across the street,love
24321," I've heard of disgruntled investors, but calling you a &quot;hoe&quot;? That seems totally out of line",surprise
24322,Think I'll go enjoy the sun's rays again...I LOVE being off work,love
24323,"_by_spork haha I like it anyway, although i miss the spork in the pic... where did it go?",surprise
24324," Good Morning, good wakeup music",love
24325, sorry  you wouldn't believe how much feedback we got on that menu bar icon.  the next version will be a lot more subtle,surprise
24326, HA ha - how much?  Thanks for starting to follow me.,surprise
24327," wow, Germany, that would be fun! If I could just meet them, just once, I would be good.",surprise
24328, Hi!! How are you? You're an amazning actress  Greets from Slovenia,love
24329,  - THAT IS FANTASTICAL,love
24330,What a nice young guy at dunkin donuts let me go first,love
24331, Can you come with the guys to Brazil? We'll love if this happened!,love
24332,"whats on my head now? whats on my head next? whats on my head later? so yeah,thats pretty much it",love
24333,"I know people say that power naps are good for you all the time, but I kinda always miss the alarm",surprise
24334, hey!  YAY! thanks!  wow ur page is awesome!!!!!,love
24335,Buying my first mac,love
24336, as a proper journo I would have to agree with you 100%!,love
24337, I have a great house to sell you!   Comes complete with a riding mower!!,love
24338, Cowboy westerns...haven't seen those in a while. good luck,love
24339,god assignments are stressful ! but its finished now lol and im off to bedd,surprise
24340,putting up a half naked dougie poster  i love sugar's ladmag,love
24341,Peace! Good morning,love
24343,HAD SO MUCH FUN TODAY !  i love alyssa arellano and mika reyes ! :*,love
24344,Very good morning! Coffee and a taylor swift cd starts it off,love
24345,"staying afterschool today  not that i have any &quot;friends&quot; on here - but if i did , i'd tell 'em to text me ! lol [ likin' us &lt;3 ]",love
24346,I am watchinggg the new video of  Its sooo good  Addicted!,love
24347, I love these clutches! I'm lusting after one in bright yellow,love
24348,thinks that the limit of 140 letters is really not fair. 300 + would be better,surprise
24349,i hope that everyone has been having a great week.  let me know if you think im crazy for hating coffee XD.,surprise
24350,  thanks hun!! I'm working hard over here...  thanks mama!! I yuhh you!!!,love
24351," If you see it at Nova on a Monday, tickets are only $8",love
24352,Feeling loved!  My Mom got me a Nikon Cool Pix for my birthday!!!!,love
24354,Happy Star Wars Day everyone! May the 4th be with you,love
24355, Thought you might be interested in   See who's viewing your photos!,surprise
24356, guess what i listened to love story 425 times on my ipod. You evil woman youve taken over my life ! Lol,love
24357," there are three broody ones atm, I have a china eggs under them to keep them happy ish",love
24358, Thank you  That's really of sweet of you!,love
24359," I'm sure it was amazing  Wish I could have been there :] You're an incredible, phenomenal, amazingly talented singer",love
24360,on a better note.. smile if u have something to be thankful for..,love
24361,"finished work @ midday, had kiddie dinner ... now have no get-up &amp; go ... ah well it's bank holiday!   fb",surprise
24362," What Makes Me Happy? My Daughter, My Family &amp; Their Support, Money, Shopping, &amp; Restaurants",love
24363," afternoon! u've got a new pic, nice specs",surprise
24364,Eating an apple... for once in my life!!! Thought you would like to know,surprise
